address,latitude,longitude,bounds,geo_address
"Quận Ba Đình, Thành phố Hà Nội",21.035852,105.826094,"21.016004,105.801279 – 21.053565,105.857015","Ba Đình, Hanoi, Vietnam"
"Quận Hoàn Kiếm, Thành phố Hà Nội",21.027266,105.855451,"21.018081,105.840612 – 21.042733,105.86776","Hoàn Kiếm, Hanoi, Vietnam"
"Quận Tây Hồ, Thành phố Hà Nội",21.073802,105.823159,"21.039578,105.791655 – 21.097916,105.849154","Tây Hồ, Hanoi, Vietnam"
"Quận Long Biên, Thành phố Hà Nội",21.038676,105.887749,"20.99433,105.841669 – 21.081584,105.938928","Long Biên, Hanoi, Vietnam"
"Quận Cầu Giấy, Thành phố Hà Nội",21.027601,105.790872,"21.001058,105.767808 – 21.059235,105.813539","Cầu Giấy, Hanoi, Vietnam"
"Quận Đống Đa, Thành phố Hà Nội",21.014732,105.834901,"20.997292,105.797593 – 21.03195,105.84271","Đống Đa, Hanoi, Vietnam"
"Quận Hai Bà Trưng, Thành phố Hà Nội",21.004087,105.855451,"20.991023,105.840808 – 21.022419,105.882924","Hai Bà Trưng District, Hanoi, Vietnam"
"Quận Hoàng Mai, Thành phố Hà Nội",20.971381,105.864259,"20.945608,105.807367 – 21.002336,105.909127","Hoàng Mai, Hanoi, Vietnam"
"Quận Thanh Xuân, Thành phố Hà Nội",20.993777,105.811418,"20.980704,105.792287 – 21.00887,105.842833","Thanh Xuân, Hanoi, Vietnam"
"Huyện Sóc Sơn, Thành phố Hà Nội",21.262257,105.852515,"21.177029,105.723192 – 21.385278,105.93882","Soc Son, Hanoi, Vietnam"
"Huyện Đông Anh, Thành phố Hà Nội",21.123164,105.852515,"21.066728,105.733322 – 21.206658,105.926549","Đông Anh, Hanoi, Vietnam"
"Huyện Gia Lâm, Thành phố Hà Nội",21.031939,105.958237,"20.926328,105.880257 – 21.121305,106.020073","Gia Lâm, Hanoi, Vietnam"
"Quận Nam Từ Liêm, Thành phố Hà Nội",21.003461,105.770329,"20.979107,105.726194 – 21.056525,105.79838","Nam Từ Liêm, Hanoi, Vietnam"
"Huyện Thanh Trì, Thành phố Hà Nội",20.927252,105.840772,"20.895464,105.788133 – 20.987775,105.913109","Thanh Trì, Hanoi, Vietnam"
"Quận Bắc Từ Liêm, Thành phố Hà Nội",21.07302,105.770329,"21.037956,105.717182 – 21.104867,105.805063","Bac Tu Liem, Hanoi, Vietnam"
"Huyện Mê Linh, Thành phố Hà Nội",21.182938,105.711646,"21.121658,105.615143 – 21.239631,105.791923","Mê Linh, Hanoi, Vietnam"
"Quận Hà Đông, Thành phố Hà Nội",20.95709,105.770329,"20.910864,105.705383 – 20.996885,105.804397","Hà Đông, Hanoi, Vietnam"
"Thị xã Sơn Tây, Thành phố Hà Nội",21.116226,105.495325,"21.020655,105.41202 – 21.170981,105.539092","Sơn Tây, Son Tay, Hanoi, Vietnam"
"Huyện Ba Vì, Thành phố Hà Nội",21.120847,105.383381,"21.007453,105.284899 – 21.303878,105.474009","Ba Vì, Hanoi, Vietnam"
"Huyện Phúc Thọ, Thành phố Hà Nội",21.113904,105.582612,"21.040237,105.50073 – 21.179345,105.665259","Phúc Thọ, Hanoi, Vietnam"
"Huyện Đan Phượng, Thành phố Hà Nội",21.105085,105.676446,"21.065907,105.623363 – 21.17528,105.739659","Đan Phượng, Hanoi, Vietnam"
"Huyện Hoài Đức, Thành phố Hà Nội",21.033292,105.699912,"20.955485,105.645986 – 21.090239,105.743209","Hoài Đức District, Hanoi, Vietnam"
"Huyện Quốc Oai, Thành phố Hà Nội",20.972504,105.606066,"20.910104,105.479936 – 21.046325,105.725718","Quốc Oai, Hanoi, Vietnam"
"Huyện Thạch Thất, Thành phố Hà Nội",21.025467,105.535714,"20.945734,105.391916 – 21.101961,105.639769","Thạch Thất, Hanoi, Vietnam"
"Huyện Chương Mỹ, Thành phố Hà Nội",20.862652,105.664714,"20.792432,105.549848 – 20.964556,105.761223","Chương Mỹ, Hanoi, Vietnam"
"Huyện Thanh Oai, Thành phố Hà Nội",20.864354,105.770329,"20.780264,105.726389 – 20.939509,105.841585","Thanh Oai, Hanoi, Vietnam"
"Huyện Thường Tín, Thành phố Hà Nội",20.8555,105.864259,"20.751992,105.812437 – 20.912195,105.936212","Thường Tín, Hanoi, Vietnam"
"Huyện Phú Xuyên, Thành phố Hà Nội",20.735203,105.911242,"20.650383,105.791696 – 20.807346,106.002933","Phú Xuyên, Hanoi, Vietnam"
"Huyện Ứng Hòa, Thành phố Hà Nội",20.710382,105.805547,"20.611882,105.696934 – 20.809591,105.905672","Ứng Hòa, Hanoi, Vietnam"
"Huyện Mỹ Đức, Thành phố Hà Nội",20.672781,105.711646,"20.564515,105.648311 – 20.829908,105.812981","Mỹ Đức, Hanoi, Vietnam"
"Thành phố Hà Giang, Tỉnh Hà Giang",22.802559,104.978449,"22.667878,104.865618 – 22.877599,105.132465","Hà Giang, Vietnam"
"Huyện Đồng Văn, Tỉnh Hà Giang",23.224672,105.242885,"23.091829,105.121603 – 23.39265,105.408576","Đồng Văn District, Hà Giang, Vietnam"
"Huyện Mèo Vạc, Tỉnh Hà Giang",23.134105,105.453672,"22.987946,105.3002 – 23.314035,105.57408","Mèo Vạc District, Hà Giang, Vietnam"
"Huyện Yên Minh, Tỉnh Hà Giang",22.966945,105.266293,"22.872447,104.956777 – 23.266877,105.384658","Yên Minh District, Hà Giang, Vietnam"
"Huyện Quản Bạ, Tỉnh Hà Giang",23.087186,104.985618,"22.941855,104.801136 – 23.192311,105.143268","Quản Bạ District, Hà Giang, Vietnam"
"Huyện Vị Xuyên, Tỉnh Hà Giang",22.724134,104.892167,"22.482866,104.724456 – 23.043358,105.159657","Vị Xuyên District, Hà Giang, Vietnam"
"Huyện Bắc Mê, Tỉnh Hà Giang",22.781148,105.266293,"22.603955,105.051435 – 22.92125,105.499941","Bắc Mê District, Hà Giang, Vietnam"
"Huyện Hoàng Su Phì, Tỉnh Hà Giang",22.741717,104.705431,"22.532934,104.523834 – 22.85361,104.814991","Hoàng Su Phì District, Hà Giang, Vietnam"
"Huyện Xín Mần, Tỉnh Hà Giang",22.665916,104.518921,"22.461637,104.335331 – 22.806947,104.621312","Xín Mần District, Hà Giang, Vietnam"
"Huyện Bắc Quang, Tỉnh Hà Giang",22.445025,104.892167,"22.16556,104.723199 – 22.622633,105.117801","Bắc Quang District, Hà Giang, Vietnam"
"Huyện Quang Bình, Tỉnh Hà Giang",22.462439,104.705431,"22.197024,104.448633 – 22.571949,104.794214","Quảng Bình District, Hà Giang, Vietnam"
"Thành phố Cao Bằng, Tỉnh Cao Bằng",22.666637,106.263985,"22.607981,106.200921 – 22.703488,106.311469","Cao Bằng, Cao Bang, Vietnam"
"Huyện Bảo Lâm, Tỉnh Cao Bằng",22.855622,105.453672,"22.633212,105.271542 – 23.118125,105.647727","Bảo Lâm District, Cao Bằng, Cao Bang, Vietnam"
"Huyện Bảo Lạc, Tỉnh Cao Bằng",22.920268,105.735117,"22.669034,105.54526 – 23.081504,105.881551","Bảo Lạc District, Cao Bang, Vietnam"
"Huyện Hà Quảng, Tỉnh Cao Bằng",22.90254,106.134571,"22.789171,105.955359 – 23.000967,106.265921","Hà Quảng District, Cao Bang, Vietnam"
"Huyện Trùng Khánh, Tỉnh Cao Bằng",22.811772,106.558407,"22.702394,106.399317 – 22.948712,106.735752","Trùng Khánh District, Cao Bang, Vietnam"
"Huyện Hạ Lang, Tỉnh Cao Bằng",22.729872,106.676292,"22.575458,106.554165 – 22.848379,106.837373","Hạ Lang District, Cao Bang, Vietnam"
"Huyện Quảng Hòa, Tỉnh Cao Bằng",22.68299,106.464146,"22.548061,106.347605 – 22.792891,106.580206","Quảng Hòa District, Cao Bang, Vietnam"
"Huyện Hòa An, Tỉnh Cao Bằng",22.758749,106.18162,"22.512994,106.015044 – 22.86006,106.405741","Hòa An District, Cao Bang, Vietnam"
"Huyện Nguyên Bình, Tỉnh Cao Bằng",22.623086,105.92299,"22.494033,105.729174 – 22.800617,106.175172","Nguyên Bình District, Cao Bang, Vietnam"
"Huyện Thạch An, Tỉnh Cao Bằng",22.466356,106.322834,"22.356923,106.095909 – 22.603501,106.567922","Thạch An District, Cao Bang, Vietnam"
"Thành Phố Bắc Kạn, Tỉnh Bắc Kạn",22.144269,105.834543,"22.054248,105.77484 – 22.212748,105.930532","Bắc Kạn, Vietnam"
"Huyện Pác Nặm, Tỉnh Bắc Kạn",22.62584,105.664714,"22.47816,105.528904 – 22.739601,105.780416","Pác Nặm District, Bắc Kạn, Vietnam"
"Huyện Ba Bể, Tỉnh Bắc Kạn",22.363689,105.735117,"22.269117,105.548615 – 22.550772,105.906325","Ba Bể District, Bắc Kạn, Vietnam"
"Huyện Ngân Sơn, Tỉnh Bắc Kạn",22.428179,106.016997,"22.28312,105.851919 – 22.576828,106.184799","Ngân Sơn, Bắc Kạn, Vietnam"
"Huyện Bạch Thông, Tỉnh Bắc Kạn",22.236079,105.852515,"22.085397,105.653262 – 22.315948,106.0512","Bạch Thông District, Bắc Kạn, Vietnam"
"Huyện Chợ Đồn, Tỉnh Bắc Kạn",22.196499,105.547437,"21.955652,105.431119 – 22.419269,105.73076","Chợ Đồn District, Bắc Kạn, Vietnam"
"Huyện Chợ Mới, Tỉnh Bắc Kạn",21.983338,105.82903,"21.804335,105.694461 – 22.124901,106.026128","Chợ Mới District, Bắc Kạn, Vietnam"
"Huyện Na Rì, Tỉnh Bắc Kạn",22.14066,106.11105,"21.937576,105.928354 – 22.386819,106.247003","Na Rì District, Bắc Kạn, Vietnam"
"Thành phố Tuyên Quang, Tỉnh Tuyên Quang",21.776725,105.22802,"21.700817,105.174522 – 21.865362,105.293183","Tuyên Quang, Vietnam"
"Huyện Lâm Bình, Tỉnh Tuyên Quang",22.502403,105.266293,"22.317834,105.072658 – 22.69597,105.40217","Lâm Bình, Tuyên Quang, Vietnam"
"Huyện Na Hang, Tỉnh Tuyên Quang",22.484209,105.453672,"22.255177,105.258536 – 22.640795,105.598308","Na Hang District, Tuyên Quang, Vietnam"
"Huyện Chiêm Hóa, Tỉnh Tuyên Quang",22.130677,105.266293,"21.940988,104.994553 – 22.397048,105.493547","Chiêm Hoá District, Tuyên Quang, Vietnam"
"Huyện Hàm Yên, Tỉnh Tuyên Quang",22.157165,104.985618,"21.839711,104.848598 – 22.350768,105.162338","Hàm Yên District, Tuyên Quang, Vietnam"
"Huyện Yên Sơn, Tỉnh Tuyên Quang",21.944799,105.266293,"21.658601,105.056573 – 22.069347,105.555688","Yên Sơn District, Tuyên Quang, Vietnam"
"Huyện Sơn Dương, Tỉnh Tuyên Quang",21.657181,105.359957,"21.497589,105.226218 – 21.846118,105.542517","Sơn Dương District, Tuyên Quang, Vietnam"
"Thành phố Lào Cai, Tỉnh Lào Cai",22.476617,103.979572,"22.31066,103.896219 – 22.52624,104.062754","Lào Cai, Lao Cai, Vietnam"
"Huyện Bát Xát, Tỉnh Lào Cai",22.553934,103.682586,"22.396306,103.530412 – 22.797784,103.961881","Bát Xát District, Lao Cai, Vietnam"
"Huyện Mường Khương, Tỉnh Lào Cai",22.678531,104.123367,"22.526109,104.005453 – 22.844861,104.271126","Mường Khương District, Lao Cai, Vietnam"
"Huyện Si Ma Cai, Tỉnh Lào Cai",22.665984,104.262851,"22.585574,104.175081 – 22.741692,104.363295","Si Ma Cai District, Lao Cai, Vietnam"
"Huyện Bắc Hà, Tỉnh Lào Cai",22.496547,104.332644,"22.324245,104.16579 – 22.67945,104.466484","Bắc Hà District, Lao Cai, Vietnam"
"Huyện Bảo Thắng, Tỉnh Lào Cai",22.3267,104.146605,"22.198587,104.001991 – 22.560307,104.330526","Bảo Thắng District, Lao Cai, Vietnam"
"Huyện Bảo Yên, Tỉnh Lào Cai",22.27633,104.44904,"22.086353,104.208532 – 22.50297,104.628655","Bảo Yên District, Lao Cai, Vietnam"
"Thị xã Sa Pa, Tỉnh Lào Cai",22.249717,103.960809,"22.137312,103.728781 – 22.492863,104.084042","Sa Pa, Lao Cai, Vietnam"
"Huyện Văn Bàn, Tỉnh Lào Cai",22.089411,104.193092,"21.875113,103.935844 – 22.253004,104.432207","Văn Bàn District, Lao Cai, Vietnam"
"Thành phố Điện Biên Phủ, Tỉnh Điện Biên",21.40639,103.032155,"21.367262,102.991751 – 21.460582,103.090589","Điện Biên Phủ, Dien Bien, Vietnam"
"Thị Xã Mường Lay, Tỉnh Điện Biên",22.049873,103.163499,"21.960082,103.043861 – 22.101864,103.190031","Mường Lay, Dien Bien, Vietnam"
"Huyện Mường Nhé, Tỉnh Điện Biên",22.184116,102.483921,"21.978334,102.144018 – 22.54805,102.761982","Mường Nhé District, Dien Bien, Vietnam"
"Huyện Mường Chà, Tỉnh Điện Biên",21.852257,103.127904,"21.585726,102.972823 – 22.069864,103.304091","Mường Chà District, Dien Bien, Vietnam"
"Huyện Tủa Chùa, Tỉnh Điện Biên",21.923201,103.404945,"21.784547,103.250536 – 22.156508,103.519119","Tủa Chùa District, Dien Bien, Vietnam"
"Huyện Tuần Giáo, Tỉnh Điện Biên",21.642702,103.404945,"21.426333,103.139234 – 21.864111,103.598795","Tuần Giáo District, Dien Bien, Vietnam"
"Huyện Điện Biên, Tỉnh Điện Biên",21.204477,103.035694,"20.892692,102.807843 – 21.617746,103.298973","Điện Biên District, Dien Bien, Vietnam"
"Huyện Điện Biên Đông, Tỉnh Điện Biên",21.283509,103.220183,"21.028747,103.067387 – 21.437524,103.440883","Điện Biên Đông District, Dien Bien, Vietnam"
"Huyện Mường Ảng, Tỉnh Điện Biên",21.564144,103.220183,"21.402357,103.104561 – 21.6319,103.414104","Mường Ảng District, Dien Bien, Vietnam"
"Huyện Nậm Pồ, Tỉnh Điện Biên",21.881525,102.759485,"21.653658,102.499951 – 22.117286,103.026933","Nam Po, Dien Bien, Vietnam"
"Thành phố Lai Châu, Tỉnh Lai Châu",22.386223,103.470263,"22.342217,103.354225 – 22.432292,103.525114","Lai Châu, Lai Chau, Vietnam"
"Huyện Tam Đường, Tỉnh Lai Châu",22.349705,103.61312,"22.168228,103.416586 – 22.49148,103.781853","Tam Đường District, Lai Chau, Vietnam"
"Huyện Mường Tè, Tỉnh Lai Châu",22.400379,102.713512,"22.166967,102.320669 – 22.780852,102.986228","Mường Tè District, Lai Chau, Vietnam"
"Huyện Sìn Hồ, Tỉnh Lai Châu",22.211371,103.31253,"21.969214,103.070448 – 22.531929,103.591914","Sìn Hồ District, Lai Chau, Vietnam"
"Huyện Phong Thổ, Tỉnh Lai Châu",22.577634,103.404945,"22.414222,103.133916 – 22.811256,103.59549","Phong Thổ District, Lai Chau, Vietnam"
"Huyện Than Uyên, Tỉnh Lai Châu",21.892211,103.775263,"21.684461,103.667279 – 22.081578,103.985314","Than Uyên District, Lai Chau, Vietnam"
"Huyện Tân Uyên, Tỉnh Lai Châu",22.086885,103.682586,"21.949189,103.532395 – 22.303043,103.944188","Tân Uyên District, Lai Chau, Vietnam"
"Huyện Nậm Nhùn, Tỉnh Lai Châu",22.234058,103.035694,"22.026918,102.736976 – 22.486034,103.199475","Nam Nhun, Lai Chau, Vietnam"
"Thành phố Sơn La, Tỉnh Sơn La",21.326902,103.914387,"21.245013,103.802525 – 21.444199,104.028308","Sơn La, Son La, Vietnam"
"Huyện Quỳnh Nhai, Tỉnh Sơn La",21.713204,103.682586,"21.521779,103.479925 – 22.0284,103.823575","Quỳnh Nhai District, Son La, Vietnam"
"Huyện Thuận Châu, Tỉnh Sơn La",21.43295,103.682586,"21.199974,103.33003 – 21.629066,103.99511","Thuận Châu District, Son La, Vietnam"
"Huyện Mường La, Tỉnh Sơn La",21.495112,104.053676,"21.309079,103.755248 – 21.742832,104.34045","Mường La District, Son La, Vietnam"
"Huyện Bắc Yên, Tỉnh Sơn La",21.276555,104.425753,"21.005924,104.168984 – 21.438633,104.573138","Bắc Yên District, Son La, Vietnam"
"Huyện Phù Yên, Tỉnh Sơn La",21.158895,104.705431,"21.027049,104.486741 – 21.422724,104.914414","Phù Yên District, Son La, Vietnam"
"Thị xã Mộc Châu, Tỉnh Sơn La",20.8445,104.641293,"20.834628,104.582162 – 20.872125,104.652071","Mộc Châu town, Mộc Châu District, Son La, Vietnam"
"Huyện Yên Châu, Tỉnh Sơn La",21.005001,104.332644,"20.798014,104.11757 – 21.185848,104.547914","Yên Châu District, Son La, Vietnam"
"Huyện Mai Sơn, Tỉnh Sơn La",21.12191,104.053676,"20.958818,103.697428 – 21.378427,104.292848","Mai Sơn District, Son La, Vietnam"
"Huyện Sông Mã, Tỉnh Sơn La",21.059325,103.682586,"20.847433,103.396362 – 21.351526,104.070198","Sông Mã District, Son La, Vietnam"
"Huyện Sốp Cộp, Tỉnh Sơn La",20.887452,103.497426,"20.660972,103.211996 – 21.0981,103.804645","Sốp Cộp District, Son La, Vietnam"
"Huyện Vân Hồ, Tỉnh Sơn La",20.793105,104.763762,"20.750014,104.661984 – 20.822314,104.812489","Vân Hồ, Vân Hồ District, Son La, Vietnam"
"Thành phố Yên Bái, Tỉnh Yên Bái",21.716769,104.898588,"21.651926,104.820303 – 21.792759,104.954403","Yên Bái, Vietnam"
"Thị xã Nghĩa Lộ, Tỉnh Yên Bái",21.601877,104.506265,"21.564784,104.452086 – 21.632936,104.530706","Nghĩa Lộ, Yên Bái, Vietnam"
"Huyện Lục Yên, Tỉnh Yên Bái",22.090005,104.705431,"21.930559,104.562519 – 22.291865,104.881963","Lục Yên District, Yên Bái, Vietnam"
"Huyện Văn Yên, Tỉnh Yên Bái",21.869843,104.565527,"21.661602,104.339703 – 22.200284,104.792932","Văn Yên District, Yên Bái, Vietnam"
"Huyện Mù Căng Chải, Tỉnh Yên Bái",21.767005,104.146605,"21.642587,103.886237 – 21.966803,104.417877","Mù Cang Chải District, Yên Bái, Vietnam"
"Huyện Trấn Yên, Tỉnh Yên Bái",21.616008,104.798771,"21.530978,104.649056 – 21.878478,104.938453","Trấn Yên District, Yên Bái, Vietnam"
"Huyện Trạm Tấu, Tỉnh Yên Bái",21.462939,104.425753,"21.351131,104.276719 – 21.669032,104.662393","Tram Tau, Yên Bái, Vietnam"
"Huyện Văn Chấn, Tỉnh Yên Bái",21.429843,104.798771,"21.32592,104.267758 – 21.813464,104.912432","Văn Chấn District, Yên Bái, Vietnam"
"Huyện Yên Bình, Tỉnh Yên Bái",21.760588,105.061587,"21.745206,105.048082 – 21.795028,105.080651","Yên Bình District, Yên Bái, Vietnam"
"Thành phố Hòa Bình, Tỉnh Hòa Bình",20.827515,105.339079,"20.743388,105.261937 – 20.941235,105.388335","Hoa Binh, Vietnam"
"Huyện Đà Bắc, Tỉnh Hòa Bình",20.838155,105.172682,"20.751328,104.852625 – 21.112768,105.313293","Đà Bắc District, Hoa Binh, Vietnam"
"Huyện Lương Sơn, Tỉnh Hòa Bình",20.829319,105.523991,"20.614842,105.424536 – 20.948736,105.686557","Lương Sơn, Hoa Binh, Vietnam"
"Huyện Kim Bôi, Tỉnh Hòa Bình",20.690113,105.523991,"20.522269,105.369393 – 20.828453,105.685607","Kim Bôi District, Hoa Binh, Vietnam"
"Huyện Cao Phong, Tỉnh Hòa Bình",20.707221,105.336536,"20.592212,105.17779 – 20.785797,105.419866","Cao Phong District, Hoa Binh, Vietnam"
"Huyện Tân Lạc, Tỉnh Hòa Bình",20.622803,105.242885,"20.451168,105.111274 – 20.771707,105.394643","Tân Lạc District, Hoa Binh, Vietnam"
"Huyện Mai Châu, Tỉnh Hòa Bình",20.690134,105.008989,"20.557207,104.836475 – 20.874614,105.159545","Mai Châu District, Hoa Binh, Vietnam"
"Huyện Lạc Sơn, Tỉnh Hòa Bình",20.441335,105.453672,"20.359841,105.258147 – 20.637375,105.577239","Lạc Sơn District, Hoa Binh, Vietnam"
"Huyện Yên Thủy, Tỉnh Hòa Bình",20.403225,105.617794,"20.305359,105.540591 – 20.549535,105.729572","Yên Thủy District, Hoa Binh, Vietnam"
"Huyện Lạc Thủy, Tỉnh Hòa Bình",20.482998,105.758591,"20.366499,105.611533 – 20.624342,105.85722","Lạc Thủy District, Hoa Binh, Vietnam"
"Thành phố Thái Nguyên, Tỉnh Thái Nguyên",21.567156,105.825204,"21.506262,105.70281 – 21.648494,105.904169","Thái Nguyên, Thai Nguyen, Vietnam"
"Thành phố Sông Công, Tỉnh Thái Nguyên",21.477798,105.842609,"21.439248,105.754611 – 21.542831,105.918331","Sông Công, Thai Nguyen, Vietnam"
"Huyện Định Hóa, Tỉnh Thái Nguyên",21.887955,105.617794,"21.744817,105.493107 – 22.047867,105.777844","Định Hóa District, Thai Nguyen, Vietnam"
"Huyện Phú Lương, Tỉnh Thái Nguyên",21.786057,105.711646,"21.613642,105.625846 – 21.915687,105.823414","Phú Lương District, Thai Nguyen, Vietnam"
"Huyện Đồng Hỷ, Tỉnh Thái Nguyên",21.628639,105.899496,"21.52052,105.786263 – 21.849792,106.074656","Đồng Hỷ District, Thai Nguyen, Vietnam"
"Huyện Võ Nhai, Tỉnh Thái Nguyên",21.779341,106.016997,"21.604045,105.848588 – 21.96786,106.237992","Võ Nhai District, Thai Nguyen, Vietnam"
"Huyện Đại Từ, Tỉnh Thái Nguyên",21.630436,105.641253,"21.430245,105.477505 – 21.777233,105.775767","Đại Từ District, Thai Nguyen, Vietnam"
"Thành phố Phổ Yên, Tỉnh Thái Nguyên",21.40136,105.852515,"21.325344,105.666739 – 21.576985,105.945481","Phổ Yên District, Thai Nguyen, Vietnam"
"Huyện Phú Bình, Tỉnh Thái Nguyên",21.484977,105.946487,"21.394038,105.876155 – 21.590841,106.05132","Phú Bình, Thai Nguyen, Vietnam"
"Thành phố Lạng Sơn, Tỉnh Lạng Sơn",21.853708,106.761519,"21.782416,106.695743 – 21.928715,106.798267","Lạng Sơn, Vietnam"
"Huyện Tràng Định, Tỉnh Lạng Sơn",22.2873,106.487707,"22.142816,106.18478 – 22.461466,106.702368","Tràng Định District, Lạng Sơn, Vietnam"
"Huyện Bình Gia, Tỉnh Lạng Sơn",22.02897,106.299291,"21.866179,106.095564 – 22.262697,106.540544","Bình Gia District, Lạng Sơn, Vietnam"
"Huyện Văn Lãng, Tỉnh Lạng Sơn",22.092483,106.581979,"21.880631,106.434311 – 22.182242,106.71314","Văn Lãng District, Lạng Sơn, Vietnam"
"Huyện Cao Lộc, Tỉnh Lạng Sơn",21.90363,106.841437,"21.736593,106.624698 – 22.013081,107.063288","Cao Lộc District, Lạng Sơn, Vietnam"
"Huyện Văn Quan, Tỉnh Lạng Sơn",21.814979,106.581979,"21.686013,106.389304 – 22.014975,106.715548","Văn Quan District, Lạng Sơn, Vietnam"
"Huyện Bắc Sơn, Tỉnh Lạng Sơn",21.843773,106.299291,"21.666497,106.09538 – 21.963386,106.419166","Bắc Sơn District, Lạng Sơn, Vietnam"
